YearsCodePro,JobSatisfaction,CodingLanguageNum,OfficeStackAsyncNum,OpSysProfessionalNum,NEWCollabToolsNum,WorkExp,DatabaseNum,PlatformNum,OfficeStackSyncNum,avg_score,ConvertedCompYearly,LogComp,Full-time Employment,Age_encoded,EdLevel_encoded,RemoteWork_encoded,Continent_encoded
9.0,0,3.0,7.0,3.0,2.0,10.0,1.0,3.0,10.0,3.625,285000.0,12.560244459250788,1,1,1,2,3
23.0,0,2.0,2.0,2.0,2.0,23.0,0.0,5.0,3.0,3.5,250000.0,12.429216196844385,1,3,1,0,3
7.0,1,7.0,1.0,3.0,4.0,7.0,2.0,2.0,5.0,4.125,156000.0,11.957611286231677,1,1,1,0,3
4.0,2,3.0,3.0,1.0,2.0,6.0,4.0,5.0,4.0,2.875,23456.0,10.062881604686378,1,1,1,2,1
21.0,2,6.0,4.0,1.0,2.0,22.0,4.0,3.0,4.0,2.5,96828.0,11.480691487636507,1,2,6,2,2
3.0,0,15.0,1.0,1.0,5.0,4.0,5.0,2.0,1.0,3.0,135000.0,11.813030057420567,1,2,6,2,3
9.0,1,7.0,4.0,3.0,2.0,9.0,8.0,8.0,3.0,4.375,75000.0,11.225243392518449,1,1,1,2,3
0.5,2,4.0,1.0,2.0,4.0,10.0,1.0,0.0,2.0,2.875,150000.0,11.918390573078392,1,2,2,0,3
7.0,1,3.0,3.0,0.0,1.0,7.0,1.0,0.0,2.0,4.125,187407.0,12.141038001343912,1,1,2,0,2
10.0,0,11.0,4.0,4.0,5.0,15.0,11.0,2.0,7.0,3.0,107090.0,11.58142488139492,1,2,2,0,2
6.0,0,4.0,4.0,1.0,1.0,6.0,4.0,2.0,3.0,3.625,58899.0,10.98357939156686,1,1,2,0,2
14.0,0,3.0,2.0,1.0,2.0,14.0,2.0,4.0,3.0,3.5,75010.0,11.225376716963682,1,2,6,0,2
6.0,0,4.0,4.0,1.0,1.0,6.0,1.0,3.0,2.0,3.25,60828.0,11.01580548826035,1,1,1,2,2
5.0,0,7.0,1.0,2.0,3.0,5.0,3.0,0.0,4.0,3.375,85672.0,11.358281330080713,1,1,4,2,2
10.0,0,2.0,0.0,2.0,1.0,10.0,3.0,0.0,1.0,3.375,37481.0,10.531589416892908,1,2,2,0,2
10.0,1,2.0,2.0,1.0,1.0,10.0,1.0,1.0,3.0,4.375,103743.0,11.549671965937232,0,2,2,2,0
2.0,0,2.0,1.0,1.0,1.0,18.0,1.0,0.0,4.0,3.0,38483.0,10.55797186431868,1,2,1,0,2
15.0,0,6.0,2.0,1.0,3.0,15.0,3.0,5.0,3.0,3.125,74963.0,11.224749937456188,1,2,0,2,2
7.0,0,6.0,1.0,3.0,6.0,7.0,6.0,3.0,2.0,3.625,53545.0,10.888277700834976,1,1,5,0,2
13.0,0,3.0,2.0,1.0,2.0,13.0,4.0,2.0,4.0,3.5,42836.0,10.665134149520766,1,2,1,0,2
15.0,0,5.0,2.0,1.0,2.0,39.0,3.0,1.0,2.0,3.625,130000.0,11.77528972943772,1,4,6,0,3
2.0,2,8.0,1.0,3.0,3.0,3.0,2.0,3.0,6.0,2.875,53982.0,10.896405936645174,1,1,2,2,2
6.0,0,7.0,1.0,1.0,6.0,6.0,3.0,2.0,0.0,3.25,136552.0,11.82446077344417,1,1,1,0,2
